"CdS32nm_on_SLG_R"
"Wavelength nm."	"R%"
1792.00000	7.95707
1794.00000	7.80826
1796.00000	7.87455
1798.00000	7.94107
1800.00000	8.00592
1802.00000	8.10051
1804.00000	7.78331
1806.00000	7.67916
1808.00000	7.63912
1810.00000	7.79540
1812.00000	7.76797
1814.00000	7.64560
1816.00000	7.61594
1818.00000	7.80061
1820.00000	7.85008
1822.00000	7.71829
1824.00000	7.72750
1826.00000	7.74875
1828.00000	7.91903
1830.00000	7.86462
1832.00000	7.88142
1834.00000	7.88814
1836.00000	8.02306
1838.00000	8.09138
1840.00000	7.93589
1842.00000	7.77276
1844.00000	7.70750
1846.00000	7.84709
1848.00000	7.84154
1850.00000	7.81853
1852.00000	7.83114
1854.00000	7.86911
1856.00000	7.79343
1858.00000	7.81489
1860.00000	7.60166
1862.00000	7.69248
1864.00000	7.60176
1866.00000	7.80704
1868.00000	7.69708
1870.00000	7.61512
1872.00000	7.54167
1874.00000	7.48145
1876.00000	7.69321
1878.00000	7.69140
1880.00000	7.76030
1882.00000	7.53310
1884.00000	7.53733
1886.00000	7.59755
1888.00000	7.54589
1890.00000	7.46051
1892.00000	7.37389
1894.00000	7.47970
1896.00000	7.57335
1898.00000	7.69791
1900.00000	7.43845
1902.00000	7.30087
1904.00000	7.02160
1906.00000	6.97937
1908.00000	6.99952
1910.00000	7.09292
1912.00000	7.39850
1914.00000	7.44468
1916.00000	7.40181
1918.00000	7.30186
1920.00000	7.35534
1922.00000	7.37575
1924.00000	7.42438
1926.00000	7.15045
1928.00000	6.87894
1930.00000	6.99570
1932.00000	7.44481
1934.00000	7.47946
1936.00000	7.21063
1938.00000	6.92961
1940.00000	7.31700
1942.00000	7.34130
1944.00000	7.31252
1946.00000	6.89222
1948.00000	6.88411
1950.00000	6.81782
1952.00000	7.02836
1954.00000	7.13568
1956.00000	6.98862
1958.00000	7.13440
1960.00000	7.05770
1962.00000	7.26104
1964.00000	7.02576
1966.00000	7.07228
1968.00000	7.02820
1970.00000	7.03658
1972.00000	6.70969
1974.00000	6.82124
1976.00000	6.63257
1978.00000	7.22773
1980.00000	7.13668
1982.00000	7.53128
1984.00000	7.15154
1986.00000	6.84870
1988.00000	6.60828
1990.00000	6.76866
1992.00000	7.05036
1994.00000	7.20098
1996.00000	7.19913
1998.00000	7.13197
2000.00000	7.01237
