	total	Li+	C+	CH+	CH_2+	CH_3+	Na+	Mg+	Al+	Si+	^34S+	K+	^41K+	^29SiO+	Na_2+	Cu+	Zn+	^65Cu+	AlF_2+	^66Zn+	^76Se+	^78Se+	Rb+	^87Rb+	^92Mo+	^96Mo+	Mo+	^110Cd+	^112Cd+	^113Cd+	Cd+	^118Sn+	^119Sn+	Sn+	Cs+
		7,0161	12,0008	13,0073	14,0155	15,0242	22,9873	23,9824	26,9813	27,9791	33,9699	38,9629	40,9608	44,9839	45,9731	62,9227	63,9207	64,9199	64,9691	65,9201	75,9117	77,9091	84,9167	86,9050	91,9018	95,8992	97,8994	109,8931	111,8927	112,8939	113,8930	117,8912	118,8927	119,8916	132,8888
Sputter Time (s)	Intensity (Raw)	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
65,9988	82344	0	0	1,00001	1,00001	11,0019	3186,31	0	0	4,00018	0	813,06	62,0312	2,00003	1,00001	16119,4	1932,92	7139,27	13,4052	1057,6	82,0756	197,305	78,0476	8,00049	21,004	117,105	23,0041	0	143,161	69,0374	95,0689	3217,07	1121,93	4274,71	1480,31	
67,9988	81899	0	0	1,00002	1,00001	4,00061	3056,55	0	1,00001	2,00003	0	827,211	59,0266	1,00001	1,00001	16002,2	1985,43	6895,45	8,90132	1001,8	87,0852	255,525	61,0312	16,0022	25,0051	130,133	21,0037	0	146,165	53,0222	98,0763	3164,96	1087,25	4282,25	1370,8	
69,9988	82230	0	0	1,00001	3,00007	8,00122	2938,15	0	2,00006	1,00001	0	818,098	73,0429	0	0	15922,4	1988,28	6836,28	11,1183	1110,51	75,058	194,306	59,0275	9,00062	18,0025	116,105	16,002	0	130,131	66,0352	84,0564	3187,81	1094,37	4366,06	1451,57	
71,9987	82250	0	0	0	0	5,00042	2893,19	0	4,00012	2,00003	0	884,989	54,0231	0	0	16091,9	1964,84	6978,35	15,599	1133,9	86,0738	216,378	55,0231	13,0013	17,0022	120,11	25,0048	2,00003	147,167	49,0206	88,0591	3189,53	1093,32	4246,61	1363,71	
73,9987	82286	0	0	0	1,00001	9,00117	2812,76	0	2,00003	2,00003	0	802,926	60,0275	0	0	16164,3	2050,36	7071,15	16,7376	1063,68	74,0639	202,332	65,0322	7,00037	21,0037	110,093	25,0049	2,00003	122,117	60,0284	119,11	3298,78	1162,48	4315,76	1413,87	
75,9987	82457	0	1,00001	1,00001	0	6,00073	2762,58	0	0	1,00001	0	787,739	59,0284	4,00012	2,00003	16449,6	2001,99	7064,91	7,81021	1106,49	80,0694	217,373	75,0464	11,0009	31,0078	124,119	18,0025	2,00003	162,201	71,0395	89,0604	3222,04	1103,52	4316,12	1366,64	
77,9986	82600	0	1,00002	1,00001	0	2,00015	2706,24	0	1,00002	0	0	829,275	47,0185	0	0	16441,9	1935,66	7108,18	15,6374	1113,52	82,0709	207,354	66,0332	10,0008	23,004	113,103	20,0031	4,00012	129,131	69,0363	91,0666	3263,22	1102,47	4370,71	1386,23	
79,9986	82316	0	1,00001	0	1,00001	10,0012	2723,08	0	1,00001	0	0	823,186	53,023	1,00002	0	16207,5	1989,52	6989,65	17,8314	1040,31	78,0626	177,268	88,0591	11,0009	23,0047	115,101	19,0028	2,00003	130,131	56,0239	101,081	3307,93	1190,01	4294,47	1390,33	
81,9986	82845	0	1,00001	0	3,00007	7,00123	2663,73	0	2,00003	0	0	798,874	57,0257	1,00002	1,00001	16412	1958,66	7077,08	10,0446	1145,04	68,0605	186,287	54,0231	11,0011	18,0027	130,137	29,0064	0	117,105	68,0384	99,0749	3339,61	1212,48	4339,68	1393,47	
83,9985	82092	0	1,00002	0	0	5,00042	2600,18	0	1,00001	1,00002	0	754,383	46,0168	1,00001	1,00001	16294,3	2022,31	7083,98	12,2734	1104,3	85,0767	190,29	81,0525	9,00076	29,0064	131,131	26,0052	1,00002	143,156	59,0293	89,0659	3257,51	1069,98	4282,46	1431,07	
85,9985	82852	0	2,00009	1,00001	0	4,00043	2632,28	0	0	0	0	813,047	58,0274	1,00002	0	16598,8	2001,18	7060,1	8,92587	1120,73	80,0698	195,326	66,0352	11,0009	25,0055	122,114	29,0064	2,00003	130,129	57,0248	89,0618	3417,38	1123,9	4439,96	1412,94	
87,9985	76908	0	3,00007	1,00002	1,00002	1,00013	2258,58	0	2,00003	1,00001	0	748,29	57,0248	4,00012	1,00001	15454,4	1815,29	6606,14	13,2917	1031,2	64,0499	176,259	65,0322	7,00037	27,006	88,0591	19,0028	1,00001	117,106	58,0266	86,0566	3119,6	1105,61	4137,82	1228,08	
89,9984	77906	0	0	0	2,00009	1,00004	2318,57	0	2,00003	1,00001	0	755,348	46,0175	2,00006	1,00001	15601,5	1812,33	6548,84	14,3886	1082	80,0679	205,363	55,0239	8,00049	26,0052	105,084	20,0033	0	150,176	62,0312	86,0564	3135,68	1136,14	4150,15	1277,8	
91,9984	78920	0	1,00001	0	1,00001	3,00034	2284,6	0	1,00001	2,00009	0	765,491	63,0303	0	1,00002	15842	1891,82	6698,76	6,65475	1011,85	90,0808	196,307	61,0293	14,0015	22,0037	110,092	21,0037	2,00003	134,143	57,0265	91,066	3200,46	1112,59	4070,62	1387,17	
93,9984	80752	0	1,00001	0	3,00011	7,00069	2220,36	0	0	0	1,00001	763,476	49,0183	1,00002	0	16098,7	1945,9	7086,02	12,2716	1138,89	75,065	168,221	84,0538	4,00018	23,004	115,101	18,0025	1,00002	133,139	48,0183	79,0512	3220,82	1125,8	4400,35	1361,58	
95,9983	81629	0	1,00001	1,00002	2,00006	6,00046	2317,61	0	0	2,00003	0	777,643	54,0231	1,00004	0	16104,5	1996,67	7009,27	8,91616	1085,03	85,083	164,228	65,0332	5,00019	22,0037	122,114	17,0022	1,00001	147,165	67,0353	89,0604	3239,89	1158,35	4443,38	1389,57	
97,9983	81536	0	0	1,00001	1,00002	6,00073	2266,96	0	1,00001	1,00001	0	709,83	61,0293	1,00001	1,00001	16403,4	1927,5	7101,95	11,1575	1069,86	72,0604	198,324	80,0488	4,00012	18,0025	102,079	22,0037	1,00001	124,117	61,0284	94,0717	3313,99	1222,42	4275,35	1453,55	
99,9982	81903	0	0	0	1,00004	14,0026	2188,3	0	2,00003	0	1,00001	773,571	54,0222	1,00001	1,00001	16570,2	1947,05	7084,08	14,5005	1061,65	68,0554	187,3	58,0257	6,00027	29,0064	106,086	12,0014	3,00007	152,177	79,0476	100,078	3288,69	1139,05	4342,79	1500,5	
101,9982	82304	0	0	0	0	4,00085	2188,3	0	0	1,00002	0	763,465	46,0175	4,00018	0	16282,2	2020,25	7215,96	15,6491	1014,91	71,05	180,257	71,0406	10,0008	23,0044	116,103	21,0034	2,00006	158,193	75,0429	107,09	3351,98	1170,51	4284,17	1475,33	
103,9982	82454	0	1,00001	0	1,00001	6,00064	2130,35	0	1,00002	0	0	770,535	54,0222	1,00001	0	16547,7	2002,56	7202,27	12,292	1090,11	83,0785	186,281	59,0269	9,00076	27,0056	117,104	18,0025	0	123,118	61,0293	93,0703	3268,72	1174,54	4452,61	1484,54	
105,9981	82443	0	0	0	0	4,00031	2115,95	0	2,00003	4,00018	0	760,394	62,032	1,00001	0	16571,3	2027,41	7165,12	15,6352	1110,39	81,0689	217,392	64,0313	7,00037	23,0044	99,0748	31,0083	1,00001	145,165	71,0385	100,076	3344,71	1182,72	4432,14	1454,66	
107,9981	82162	0	0	2,00003	2,00003	2,00009	2059,07	0	1,00001	0	0	778,643	59,0274	0	0	16453,7	2082,97	7091,04	14,5022	1123,73	64,0473	176,264	57,0248	8,00049	23,004	109,092	19,0028	1,00001	163,203	52,0222	89,0632	3236,23	1201,07	4442,19	1423,92	
109,9981	82556	0	1,00001	0	2,00009	6,00046	2045,75	1,00001	0	1,00001	0	744,221	68,0363	1,00001	0	16724,1	1922,35	7131,81	20,0935	1078,91	77,0642	205,334	57,0248	8,00049	20,0031	102,079	20,0031	1,00001	138,145	58,0266	86,0578	3336,93	1170,48	4448,61	1457,64	
111,9980	82750	0	3,00011	0	3,00011	7,0008	2063,22	0	0	0	0	775,583	47,0169	1,00001	1,00001	16639,6	1950,02	7309,33	15,668	1091,17	84,0726	199,322	81,0501	8,00049	27,006	140,152	13,0013	1,00001	151,174	64,0313	104,083	3258,15	1169,57	4421,02	1384,16	
113,9980	82578	0	0	0	0	8,00073	2011,59	0	0	2,00003	0	719,951	49,0191	0	0	16818,8	1913,99	7209,15	14,5233	1101,28	96,1005	193,297	75,0429	9,00062	13,0015	109,092	23,004	0	161,203	60,0293	92,0698	3345,4	1248,92	4474,73	1385,06	
115,9980	82674	0	0	0	2,00003	8,00073	2023,96	0	0	2,00003	0	770,524	50,0191	0	0	16580,8	2092,2	7170,84	18,9846	1096,23	74,0666	187,299	58,0257	5,00034	16,0022	112,096	20,0031	0	146,165	64,0313	98,0748	3391,3	1118,69	4449,54	1430,96	
117,9979	83377	0	2,00006	2,00006	0	3,00025	1874,67	0	0	0	0	782,655	50,0191	2,00003	0	16702,4	2062,5	7156,14	12,2822	1148,13	95,0842	185,285	66,0332	9,00062	20,0031	104,083	23,004	2,00006	127,125	69,0395	97,0733	3411,58	1257,15	4524,59	1396,25	
119,9979	82874	0	0	0	4,00024	6,00082	1863,29	0	0	0	0	784,679	61,0303	0	0	16669,3	1946,84	7158,87	17,8621	1084,01	74,0535	169,252	67,0342	7,00037	23,004	121,112	24,0044	0	137,143	63,0312	98,0747	3351,45	1167,42	4409,74	1462,72	
121,9979	82529	0	0	0	0	5,0008	1736,84	0	1,00001	0	0	727,018	64,0322	1,00002	0	16805,3	2015,9	7283,34	20,1339	1119,56	79,0675	192,303	72,0396	14,0015	28,006	99,0748	31,0077	1,00002	155,184	71,0394	92,0674	3364,35	1194,92	4374,72	1409,28	
123,9978	82965	0	0	0	2,00003	4,00043	1803,65	0	0	2,00006	0	756,371	55,0239	0	0	17021,1	2019,03	7324,85	30,2229	1096,2	87,0835	200,33	60,0275	8,00049	25,0048	120,11	26,0052	1,00001	145,162	72,0396	99,0776	3366,24	1192,79	4429,21	1414,73	
125,9978	82742	0	0	0	1,00004	3,00043	1762,57	0	1,00001	3,00007	0	706,808	54,0231	1,00001	0	16846,5	1978,78	7346,16	16,7916	1072,88	83,072	194,308	73,0429	9,00076	21,0034	124,117	21,0034	2,00003	133,137	76,0444	80,0513	3373,77	1167,41	4435,28	1426,01	
127,9978	83296	0	1,00001	0	1,00004	12,0015	1817,04	0	0	1,00001	0	719,951	46,0168	0	0	16868,2	2017,98	7341,81	15,6707	1091,12	72,0574	195,315	80,0488	9,00062	25,0051	106,086	21,0034	6,00027	123,116	55,0231	93,0674	3452,52	1169,5	4355,48	1487,24	
129,9977	82471	0	0	0	0	3,00016	1709,12	0	0	0	0	760,406	40,0128	1,00002	0	16833,3	2087,94	7271,87	30,195	1071,78	77,0721	190,29	63,0303	5,00019	21,0034	109,092	22,0037	2,00003	116,103	47,0169	88,0591	3355,77	1160,33	4504,8	1444,21	
131,9977	82807	0	1,00002	0	3,00007	6,00046	1722,5	0	2,00003	0	0	726,018	61,0293	2,00006	1,00001	16861,2	1967,48	7283,93	13,4197	1078,89	80,0656	193,312	61,0284	7,00037	20,0031	108,089	29,0069	0	158,193	73,0407	96,0718	3418,96	1172,49	4514,37	1425,83	
133,9977	82649	0	0	0	1,00001	5,00034	1735,87	0	0	2,00003	0	744,21	55,0239	0	0	16796,5	2107,82	7180,54	15,6317	1113,46	61,0399	209,356	62,0293	13,0013	17,0022	104,083	21,0034	2,00003	140,152	69,0374	106,087	3405,1	1193,83	4427,72	1414,58	
135,9976	82525	0	0	0	1,00001	1,00005	1672,18	0	0	0	0	724,007	42,0147	1,00001	0	16601,1	2012,68	7354,52	13,4352	1162,3	79,0785	178,269	69,0363	13,0013	24,0044	120,11	17,0022	0	143,156	67,0353	98,0733	3268,26	1178,57	4446,63	1401,17	
137,9976	82844	0	0	0	1,00002	0	1592,31	0	0	1,00001	0	723,984	41,0135	0	0	16712,5	1999,28	7122,37	17,8508	1137,87	79,0721	183,291	71,0385	5,00027	28,006	117,105	22,0037	1,00005	147,165	63,0312	101,078	3373,35	1121,55	4542,31	1453,42	
139,9975	83280	0	0	0	1,00002	4,00031	1667,13	0	1,00001	1,00002	0	699,744	49,0183	0	0	16899,1	2032,34	7387,89	20,1608	1083,01	66,0551	182,285	59,0284	8,00049	23,0041	114,099	27,006	1,00001	145,163	66,0332	89,0618	3509,58	1232,52	4555,17	1351,28	
141,9975	83018	0	1,00002	1,00001	1,00004	6,00064	1636,33	0	0	1,00002	0	738,141	52,0222	0	1,00001	16817,6	1990,17	7353,99	20,1539	1107,39	81,0674	180,284	76,0441	7,00037	34,0088	115,101	22,0037	0	126,123	56,0248	93,0674	3455,95	1219,29	4475,96	1505,82	
143,9975	82889	0	2,00003	0	2,00003	3,00025	1564,55	0	0	0	0	742,187	53,0214	1,00001	0	16764	1991,03	7135,62	18,9686	1030,13	65,048	178,271	70,0385	12,0013	25,0048	105,085	29,0064	1,00001	140,15	58,0257	98,0763	3440,87	1222,42	4459,89	1411,56	
145,9974	83110	0	0	0	0	4,00061	1536,9	0	0	0	0	736,153	57,0248	2,00008	0	17137,4	2068,42	7279,34	15,656	1075,81	77,0655	177,264	64,0331	7,00037	28,006	102,079	15,0017	0	157,188	70,0385	96,0703	3375,61	1203,99	4477,17	1430,76	
147,9974	82414	0	1,00001	0	2,00003	6,00037	1448,94	0	0	1,00001	0	744,222	53,0222	0	0	16798	1951,82	7279,97	20,1357	1040,23	78,0607	193,305	55,0231	4,00012	20,0034	109,091	24,0044	2,00003	155,186	65,0332	95,0689	3346,25	1163,28	4516,55	1393,19	
