subplots_adjust	0.15
fontsize	10.0
title	Tabulated values of the Shockley-Queisser limit for single junction solar cells, Table S1
xlabel	Energy [eV]
ylabel	Quantity
xlim	['', '']
ylim	['', '']
meastype	Graph
[ev]	[nm]	[mA/cm2]	[mA/cm2]	[mA/cm2]	[V]	[V]	[%]	[%]
authors	Sven Ruehle
caption	Detailed balance limit for a single junction solar cell at a cell temperature Tc of 25 °C illuminated by the AM 1.5G spectral irradiance (ASTM G173-03) as a function of the energy band gap Eg and band gap wavelength lambda_g considering radiative emission from the front and rear side of the solar cell as shown in Fig. 2a.
comment	SI, table S1 (no reflector: unfavorable case)
doi	10.1016/j.solener.2016.02.015
label	$\\lambda$g [nm]	Jmax [mA/cm2]	Jsc [mA/cm2]	Jmpp [mA/cm2]	Voc [V]	Vmpp [V]	FF [%]	$\\eta$ [%]
linestyle	none
publication	Solar Energy 130 (2016) 139-147
url	http://dx.doi.org/10.1016/j.solener.2016.02.015
2.34	529.8	8.34	8.34	8.23	2.001	1.89	93.2	15.55
2.35	527.6	8.19	8.19	8.08	2.01	1.899	93.2	15.34
2.36	525.4	8.05	8.05	7.95	2.019	1.908	93.2	15.16
2.37	523.1	7.91	7.91	7.8	2.029	1.917	93.3	14.95
2.38	520.9	7.76	7.76	7.66	2.038	1.927	93.3	14.76
2.39	518.8	7.63	7.63	7.53	2.047	1.936	93.3	14.57
2.4	516.6	7.5	7.5	7.41	2.057	1.945	93.3	14.4
2.41	514.5	7.37	7.37	7.27	2.066	1.954	93.4	14.21
2.42	512.3	7.24	7.24	7.14	2.075	1.963	93.4	14.02
2.43	510.2	7.1	7.1	7.01	2.084	1.973	93.4	13.82
2.44	508.1	6.96	6.96	6.88	2.094	1.982	93.4	13.62
2.45	506.1	6.83	6.83	6.74	2.103	1.991	93.5	13.42
2.46	504.0	6.7	6.7	6.62	2.112	2.0	93.5	13.23
2.47	502.0	6.58	6.58	6.49	2.122	2.009	93.5	13.04
2.48	499.9	6.45	6.45	6.37	2.131	2.018	93.5	12.86
2.49	497.9	6.33	6.33	6.25	2.14	2.028	93.6	12.66
2.5	495.9	6.2	6.2	6.12	2.15	2.037	93.6	12.47
2.51	494.0	6.07	6.07	6.0	2.159	2.046	93.6	12.27
2.52	492.0	5.95	5.95	5.88	2.168	2.055	93.6	12.08
2.53	490.1	5.83	5.83	5.76	2.177	2.064	93.6	11.89
2.54	488.1	5.72	5.72	5.65	2.187	2.073	93.7	11.71
2.55	486.2	5.61	5.61	5.54	2.196	2.083	93.7	11.54
2.56	484.3	5.5	5.5	5.43	2.205	2.092	93.7	11.36
2.57	482.4	5.38	5.38	5.32	2.214	2.101	93.7	11.17
2.58	480.6	5.27	5.27	5.2	2.224	2.11	93.8	10.98
2.59	478.7	5.15	5.15	5.09	2.233	2.119	93.8	10.78
2.6	476.9	5.04	5.04	4.98	2.242	2.128	93.8	10.59
2.61	475.0	4.93	4.93	4.87	2.251	2.138	93.8	10.4
2.62	473.2	4.82	4.82	4.76	2.261	2.147	93.8	10.22
2.63	471.4	4.71	4.71	4.65	2.27	2.156	93.9	10.03
2.64	469.6	4.61	4.61	4.55	2.279	2.165	93.9	9.85
2.65	467.9	4.5	4.5	4.45	2.288	2.174	93.9	9.67
2.66	466.1	4.4	4.4	4.35	2.298	2.183	93.9	9.49
2.67	464.4	4.3	4.3	4.25	2.307	2.192	93.9	9.31
2.68	462.6	4.2	4.2	4.15	2.316	2.201	94.0	9.13
2.69	460.9	4.09	4.09	4.05	2.325	2.21	94.0	8.94
2.7	459.2	4.0	4.0	3.95	2.334	2.219	94.0	8.77
2.71	457.5	3.9	3.9	3.85	2.343	2.229	94.0	8.59
2.72	455.8	3.8	3.8	3.76	2.353	2.238	94.0	8.41
2.73	454.2	3.71	3.71	3.67	2.362	2.247	94.0	8.23
2.74	452.5	3.62	3.62	3.58	2.371	2.256	94.1	8.07
2.75	450.9	3.52	3.52	3.48	2.38	2.265	94.1	7.89
2.76	449.2	3.43	3.43	3.39	2.389	2.274	94.1	7.71
2.77	447.6	3.34	3.34	3.31	2.398	2.283	94.1	7.54
2.78	446.0	3.26	3.26	3.22	2.408	2.292	94.1	7.39
2.79	444.4	3.18	3.18	3.14	2.417	2.301	94.2	7.23
2.8	442.8	3.1	3.1	3.06	2.426	2.31	94.2	7.08
2.81	441.2	3.02	3.02	2.99	2.435	2.319	94.2	6.92
2.82	439.7	2.95	2.95	2.91	2.444	2.328	94.2	6.78
2.83	438.1	2.88	2.88	2.85	2.453	2.337	94.2	6.65
2.84	436.6	2.81	2.81	2.78	2.463	2.346	94.2	6.51
2.85	435.0	2.73	2.73	2.7	2.472	2.355	94.3	6.37
2.86	433.5	2.67	2.67	2.64	2.481	2.364	94.3	6.24
2.87	432.0	2.6	2.6	2.58	2.49	2.374	94.3	6.11
2.88	430.5	2.55	2.55	2.53	2.499	2.383	94.3	6.02
2.89	429.0	2.51	2.51	2.48	2.509	2.392	94.3	5.93
2.9	427.5	2.45	2.45	2.42	2.518	2.401	94.3	5.81
2.91	426.1	2.39	2.39	2.36	2.527	2.41	94.4	5.69
2.92	424.6	2.33	2.33	2.3	2.536	2.419	94.4	5.56
2.93	423.2	2.26	2.26	2.24	2.545	2.428	94.4	5.44
2.94	421.7	2.2	2.2	2.18	2.555	2.437	94.4	5.31
2.95	420.3	2.14	2.14	2.12	2.564	2.446	94.4	5.19
