comment0	Data must be within [0,1] and NOT in %.
comment1	Feel free to add the reflectance and transmittance spectra of your substrates. Set labels as '<substrate> R' and '<substrate> T'
ylabel	Transmittance, Reflectance [%]
xlabel	Wavelength [nm]
_spectrumguidark	True	True
_spectrumguioffset	True	True
_spectrumsubclass	CurveSpectrumReflectance	CurveSpectrumTransmittance
curve	Curve Spectrum	Curve Spectrum
label	SLG R	SLG T
nm	Reflectance [ ]	Transmittance [ ]
936.0	0.080712624	0.917698422
938.0	0.082112898	0.915173115
940.0	0.081204221	0.917870005
942.0	0.081037094	0.918422929
944.0	0.080245334	0.920294569
946.0	0.08056159	0.919390613
948.0	0.081241369	0.920721686
950.0	0.081661689	0.920740389
952.0	0.081764348	0.919789545
954.0	0.08120925	0.919956337
956.0	0.080534409	0.918864358
958.0	0.079392211	0.919202679
960.0	0.079073249	0.917992421
962.0	0.079107076	0.918154689
964.0	0.080261467	0.917204373
966.0	0.080699763	0.919359091
968.0	0.081502792	0.919518389
970.0	0.080956771	0.920711111
972.0	0.079800941	0.919361078
974.0	0.079009668	0.919816698
976.0	0.079342752	0.918716983
978.0	0.079862024	0.919462743
980.0	0.080330279	0.918452084
982.0	0.078881108	0.917567285
984.0	0.078859384	0.915727351
986.0	0.07890189	0.915889018
988.0	0.080473671	0.916481239
990.0	0.080888923	0.917327771
992.0	0.080503163	0.918347495
994.0	0.079959655	0.918876507
996.0	0.079556483	0.919125702
998.0	0.079847838	0.91888321
1000.0	0.079712321	0.918830896
1002.0	0.079331997	0.91776192
1004.0	0.079495213	0.917174554
1006.0	0.079289756	0.918546678
1008.0	0.079312437	0.919254978
1010.0	0.078820683	0.919518708
1012.0	0.079456205	0.918131433
1014.0	0.079231857	0.918794039
1016.0	0.079043649	0.918689581
1018.0	0.078671147	0.918111412
1020.0	0.079336658	0.917889857
1022.0	0.079536237	0.918186527
1024.0	0.079558012	0.919261305
1026.0	0.079082033	0.918489145
1028.0	0.079318873	0.918883523
1030.0	0.079202855	0.918082379
